"","inPathway","outPathway"
"Oncogene Induced Senescence",35,393053
"The AIM2 inflammasome",4,393084
"Opioid Signalling",104,392984
"Synthesis of substrates in N-glycan biosythesis",131,392957
"PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1",11,393077
"Na+/Cl- dependent neurotransmitter transporters",50,393038
"CREB phosphorylation through the activation of CaMKII",20,393068
"Metabolism of vitamins and cofactors",354,392734
"Synthesis of CL",5,393083
"Resolution of D-loop Structures through Holliday Junction Intermediates",36,393052
"Transport of Mature mRNAs Derived from Intronless Transcripts",45,393043
"MPS IIIB - Sanfilippo syndrome B",3,393085
"TNFR2 non-canonical NF-kB pathway",104,392984
"EGFR interacts with phospholipase C-gamma",47,393041
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",70,393018
"HIV Life Cycle",173,392915
"Defective ABCC9 causes dilated cardiomyopathy 10, familial atrial fibrillation 12 and hypertrichotic osteochondrodysplasia",3,393085
"Prostanoid ligand receptors",14,393074
"Transport of the SLBP Dependant Mature mRNA",38,393050
"SHC-mediated cascade:FGFR4",26,393062
"Defective CD320 causes methylmalonic aciduria",3,393085
"Phosphorylation of Emi1",8,393080
"Retinoid cycle disease events",24,393064
"Fertilization",31,393057
"BMAL1:CLOCK,NPAS2 activates circadian gene expression",53,393035
"Degradation of cysteine and homocysteine",41,393047
"O-linked glycosylation",133,392955
"DCC mediated attractive signaling",19,393069
"Toll Like Receptor TLR1:TLR2 Cascade",114,392974
"Alpha-defensins",11,393077
"Astrocytic Glutamate-Glutamine Uptake And Metabolism",10,393078
"Signal attenuation",11,393077
"Apoptotic factor-mediated response",9,393079
"Defective GIF causes intrinsic factor deficiency",2,393086
"Tie2 Signaling",22,393066
"Molybdenum cofactor biosynthesis",27,393061
"Cation-coupled Chloride cotransporters",10,393078
"RMTs methylate histone arginines",53,393035
"STAT6-mediated induction of chemokines",5,393083
"E2F-enabled inhibition of pre-replication complex formation",9,393079
"Negative regulation of TCF-dependent signaling by WNT ligand antagonists",15,393073
"Lysosome Vesicle Biogenesis",43,393045
"Defective SLC1A3 causes episodic ataxia 6 (EA6)",6,393082
"Reuptake of GABA",10,393078
"Synthesis of pyrophosphates in the cytosol",29,393059
"Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes",6,393082
"Activation of TRKA receptors",10,393078
"Signaling by MST1",8,393080
"Defective RHAG causes regulator type Rh-null hemolytic anemia (RHN)",1,393087
"Agmatine biosynthesis",8,393080
"mRNA Capping",36,393052
"Synthesis of IP3 and IP4 in the cytosol",39,393049
"TGFBR2 MSI Frameshift Mutants in Cancer",2,393086
"Zinc efflux and compartmentalization by the SLC30 family",8,393080
"Nuclear Events (kinase and transcription factor activation)",29,393059
"PIPs transport between Golgi and plasma membranes",1,393087
"Regulation of TP53 Activity through Methylation",23,393065
"Nuclear Envelope Breakdown",63,393025
"Signaling by PTK6",68,393020
"Hedgehog ligand biogenesis",72,393016
"PECAM1 interactions",14,393074
"Defective GALT can cause Galactosemia",2,393086
"Amine Oxidase reactions",22,393066
"Formation of HIV-1 elongation complex containing HIV-1 Tat",49,393039
"Negative regulation of the PI3K/AKT network",120,392968
"MTF1 activates gene expression",4,393084
"Toll Like Receptor 7/8 (TLR7/8) Cascade",107,392981
"Activation of Ca-permeable Kainate Receptor",13,393075
"Translesion synthesis by POLK",21,393067
"Mtb iron assimilation by chelation",17,393071
"Pyruvate metabolism and Citric Acid (TCA) cycle",89,392999
"Plasma lipoprotein clearance",42,393046
"MPS I - Hurler syndrome",4,393084
"Ligand-gated ion channel transport",33,393055
"Signaling by activated point mutants of FGFR3",17,393071
"Stabilization of p53",59,393029
"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)",3,393085
"Ceramide signalling",8,393080
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",13,393075
"Defective DPAGT1 causes DPAGT1-CDG (CDG-1j) and CMSTA2",2,393086
"Recycling pathway of L1",54,393034
"Vitamin E",2,393086
"Mitochondrial biogenesis",110,392978
"Downregulation of TGF-beta receptor signaling",28,393060
"Polymerase switching",16,393072
"MET activates RAS signaling",15,393073
"KSRP (KHSRP) binds and destabilizes mRNA",20,393068
"Biogenic amines are oxidatively deaminated to aldehydes by MAOA and MAOB",13,393075
"Vitamins B6 activation to pyridoxal phosphate",21,393067
"Antiviral mechanism by IFN-stimulated genes",83,393005
"Frs2-mediated activation",274,392814
"Postsynaptic nicotinic acetylcholine receptors",17,393071
"MAPK3 (ERK1) activation",13,393075
"Activation of ATR in response to replication stress",39,393049
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",17,393071
"Defective Mismatch Repair Associated With MLH1",2,393086
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",7,393081
"MASTL Facilitates Mitotic Progression",12,393076
"Regulation of PTEN stability and activity",74,393014
"APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1",72,393016
"Signalling to ERK5",4,393084
"Signalling to STAT3",5,393083
"Budding and maturation of HIV virion",36,393052
"TP53 Regulates Transcription of Cell Cycle Genes",51,393037
"Signaling by MET",87,393001
"Resolution of Abasic Sites (AP sites)",47,393041
"Signaling by Wnt",321,392767
"Base Excision Repair",68,393020
"Defects in cobalamin (B12) metabolism",28,393060
"Rho GTPase cycle",144,392944
"Defective FMO3 causes Trimethylaminuria (TMAU)",4,393084
"Activation of Nicotinic Acetylcholine Receptors",17,393071
"TWIK-related spinal cord K+ channel (TRESK)",2,393086
"Histidine catabolism",31,393057
"Triglyceride catabolism",43,393045
"CDC6 association with the ORC:origin complex",11,393077
"Plasma lipoprotein assembly",30,393058
"Formation of the beta-catenin:TCF transactivating complex",64,393024
"Signaling by FGFR4",50,393038
"N-glycan trimming in the ER and Calnexin/Calreticulin cycle",57,393031
"Defective PGM1 causes PGM1-CDG (CDG1t)",1,393087
"Loss of proteins required for interphase microtubule organization from the centrosome",71,393017
"Energy dependent regulation of mTOR by LKB1-AMPK",36,393052
"PI3K events in ERBB2 signaling",22,393066
"Activation of CaMK IV",5,393083
"Activation of NOXA and translocation to mitochondria",5,393083
"Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6)",3,393085
"Post-translational modification: synthesis of GPI-anchored proteins",114,392974
"IPs transport between nucleus and cytosol",5,393083
"Ubiquitin-dependent degradation of Cyclin D1",53,393035
"N-glycan trimming and elongation in the cis-Golgi",18,393070
"Signaling by VEGF",381,392707
"Telomere Extension By Telomerase",11,393077
"TFAP2 (AP-2) family regulates transcription of cell cycle factors",5,393083
"Electron transport from NADPH to Ferredoxin",10,393078
"Variant SLC6A14 may confer susceptibility towards obesity",3,393085
"Cellular hexose transport",27,393061
"Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)",3,393085
"TBC/RABGAPs",49,393039
"Loss of Nlp from mitotic centrosomes",71,393017
"p75NTR signals via NF-kB",19,393069
"Ion homeostasis",64,393024
"Regulation of PLK1 Activity at G2/M Transition",92,392996
"Metabolism of porphyrins",54,393034
"Pentose phosphate pathway disease",6,393082
"Synthesis of Lipoxins (LX)",22,393066
"Signaling by Robo receptor",39,393049
"Formation of the Early Elongation Complex",37,393051
"RIPK1-mediated regulated necrosis",28,393060
"Defective ABCD1 causes adrenoleukodystrophy (ALD)",3,393085
"p53-Independent G1/S DNA damage checkpoint",55,393033
"Anchoring fibril formation",15,393073
"Regulation of Hypoxia-inducible Factor (HIF) by oxygen",80,393008
"Metabolism of proteins",2288,390800
"Inhibition of adenylate cyclase pathway",18,393070
"Aryl hydrocarbon receptor signalling",8,393080
"Golgi Cisternae Pericentriolar Stack Reorganization",17,393071
"TRAIL  signaling",7,393081
"Macroautophagy",79,393009
"RUNX3 regulates YAP1-mediated transcription",27,393061
"Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)",2,393086
"Synthesis of dolichyl-phosphate-glucose",9,393079
"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)",2,393086
"TCF7L2 mutants don't bind CTBP",3,393085
"Organic cation transport",39,393049
"Potassium Channels",103,392985
"TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation",105,392983
"ATF6 (ATF6-alpha) activates chaperone genes",10,393078
"Defensins",50,393038
"Cross-presentation of particulate exogenous antigens (phagosomes)",13,393075
"Neurotoxicity of clostridium toxins",28,393060
"Pregnenolone biosynthesis",25,393063
"MPS IIIC - Sanfilippo syndrome C",3,393085
"Recognition and association of DNA glycosylase with site containing an affected pyrimidine",8,393080
"PI-3K cascade:FGFR4",25,393063
"Regulation of DNA replication",78,393010
"GAB1 signalosome",285,392803
"Pink/Parkin Mediated Mitophagy",22,393066
"PKB-mediated events",51,393037
"HDR through MMEJ (alt-NHEJ)",15,393073
"Beta-oxidation of pristanoyl-CoA",31,393057
"Packaging Of Telomere Ends",34,393054
"tRNA processing in the mitochondrion",11,393077
"Adrenaline,noradrenaline inhibits insulin secretion",32,393056
"Synthesis of PG",21,393067
"Beta oxidation of myristoyl-CoA to lauroyl-CoA",16,393072
"IRF3-mediated induction of type I IFN",20,393068
"UNC93B1 deficiency - HSE",1,393087
"Glycogen storage disease type II (GAA)",4,393084
"Signaling by GPCR",1507,391581
"Transmission across Electrical Synapses ",6,393082
"Metabolism of carbohydrates",413,392675
"Inhibition of TSC complex formation by PKB",6,393082
"SUMO is conjugated to E1 (UBA2:SAE1)",8,393080
"Defective SLC5A2 causes renal glucosuria (GLYS1)",2,393086
"G-protein beta:gamma signalling",57,393031
"Nef mediated downregulation of MHC class I complex cell surface expression",11,393077
"Cytokine Signaling in Immune system",1022,392066
"Developmental Biology",1112,391976
"Insulin receptor recycling",28,393060
"RUNX3 regulates RUNX1-mediated transcription",2,393086
"Synthesis of PIPs at the ER membrane",14,393074
"Surfactant metabolism",46,393042
"truncated APC mutants destabilize the destruction complex",14,393074
"Phase 2 - plateau phase",30,393058
"Complex I biogenesis",57,393031
"Metal ion SLC transporters",34,393054
"p75NTR recruits signalling complexes",16,393072
"Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling",6,393082
"Formation of Fibrin Clot (Clotting Cascade)",43,393045
"Sperm Motility And Taxes",13,393075
"Intestinal saccharidase deficiencies",6,393082
"Inactivation, recovery and regulation of the phototransduction cascade",54,393034
"Formation of the cornified envelope",138,392950
"Activated TLR4 signalling",132,392956
"RNA Polymerase II Transcription",1266,391822
"Cam-PDE 1 activation",8,393080
"Transcriptional regulation by small RNAs",81,393007
"p75 NTR receptor-mediated signalling",107,392981
"SHC-related events triggered by IGF1R",15,393073
"Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1",16,393072
"Defective ABCB4 causes progressive familial intrahepatic cholestasis 3, intrahepatic cholestasis of pregnancy 3 and gallbladder disease 1",3,393085
"EGFR Transactivation by Gastrin",12,393076
"Defective NEU1 causes sialidosis",5,393083
"G1 Phase",48,393040
"Resolution of Sister Chromatid Cohesion",135,392953
"Metabolism of steroid hormones",69,393019
"Free fatty acid receptors",29,393059
"Regulation of gene expression in beta cells",25,393063
"DNA Damage/Telomere Stress Induced Senescence",71,393017
"Defects in vitamin and cofactor metabolism",37,393051
"Acetylcholine Neurotransmitter Release Cycle",26,393062
"Glucagon-type ligand receptors",34,393054
"MAPK6/MAPK4 signaling",94,392994
"Regulation of thyroid hormone activity",9,393079
"Netrin-1 signaling",59,393029
"Defective BTD causes biotidinase deficiency",1,393087
"Defective EXT2 causes exostoses 2",14,393074
"Defective LARGE causes MDDGA6 and MDDGB6",2,393086
"vRNA Synthesis",8,393080
"ROS, RNS production in phagocytes",52,393036
"Scavenging by Class H Receptors",15,393073
"AXIN mutants destabilize the destruction complex, activating WNT signaling",14,393074
"RNA Polymerase I Transcription Initiation",49,393039
"APC truncation mutants have impaired AXIN binding",14,393074
"Class B/2 (Secretin family receptors)",97,392991
"Glycogen metabolism",67,393021
"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",17,393071
"Hydroxycarboxylic acid-binding receptors",7,393081
"Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins",76,393012
"Fructose biosynthesis",11,393077
"RHO GTPases activate PKNs",78,393010
"Fibronectin matrix formation",7,393081
"Formation of the HIV-1 Early Elongation Complex",37,393051
"Scavenging of heme from plasma",105,392983
"LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production",8,393080
"Meiotic recombination",60,393028
"Neuronal System",422,392666
"Collagen degradation",69,393019
"Opsins",9,393079
"The retinoid cycle in cones (daylight vision)",19,393069
"CD28 dependent Vav1 pathway",19,393069
"Defective SLC35A1 causes congenital disorder of glycosylation 2F (CDG2F)1",2,393086
"FGFR2 mutant receptor activation",48,393040
"Post-translational protein modification",1529,391559
"Semaphorin interactions",73,393015
"Host Interactions with Influenza Factors",48,393040
"Glycogen storage disease type XV (GYG1)",4,393084
"Interconversion of nucleotide di- and triphosphates",83,393005
"MAP kinase activation in TLR cascade",69,393019
"Synthesis of PA",65,393023
"Nef Mediated CD4 Down-regulation",10,393078
"Pyrimidine biosynthesis",24,393064
"PTK6 Expression",6,393082
"SOS-mediated signalling",267,392821
"Rap1 signalling",24,393064
"Chondroitin sulfate biosynthesis",25,393063
"PTK6 Down-Regulation",7,393081
"Proton-coupled neutral amino acid transporters",6,393082
"Defective SLC36A2 causes iminoglycinuria (IG) and hyperglycinuria (HG)",3,393085
"Reelin signalling pathway",9,393079
"Defective PAPSS2 causes SEMD-PA",3,393085
"Metabolism of steroids",294,392794
"Defective MMAB causes methylmalonic aciduria type cblB",2,393086
"Nicotinate metabolism",86,393002
"TNFR1-induced NFkappaB signaling pathway",30,393058
"Glucocorticoid biosynthesis",23,393065
"Influenza Viral RNA Transcription and Replication",174,392914
"Defective RFT1 causes RFT1-CDG (CDG-1n)",1,393087
"APC/C-mediated degradation of cell cycle proteins",90,392998
"NIK-->noncanonical NF-kB signaling",61,393027
"G1/S-Specific Transcription",27,393061
"COX reactions",9,393079
"S33 mutants of beta-catenin aren't phosphorylated",16,393072
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",50,393038
"Downstream signal transduction",468,392620
"Disassembly of the destruction complex and recruitment of AXIN to the membrane",33,393055
"Toll Like Receptor 4 (TLR4) Cascade",146,392942
"Regulation of beta-cell development",37,393051
"Cholesterol biosynthesis",87,393001
"IL-6-type cytokine receptor ligand interactions",17,393071
"Defective MPI causes MPI-CDG (CDG-1b)",1,393087
"Classical Kir channels",5,393083
"Nicotinamide salvaging",59,393029
"Resolution of D-Loop Structures",37,393051
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)",5,393083
"FGFR1b ligand binding and activation",9,393079
"APC-Cdc20 mediated degradation of Nek2A",25,393063
"APOBEC3G mediated resistance to HIV-1 infection",14,393074
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF",1,393087
"Sema4D in semaphorin signaling",33,393055
"Clearance of Nuclear Envelope Membranes from Chromatin",12,393076
"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)",4,393084
"Regulation of cholesterol biosynthesis by SREBP (SREBF)",65,393023
"Transport of Ribonucleoproteins into the Host Nucleus",38,393050
"Creation of C4 and C2 activators",111,392977
"Oligomerization of connexins into connexons",3,393085
"Toll Like Receptor TLR6:TLR2 Cascade",111,392977
"Transcription of the HIV genome",80,393008
"RPIA deficiency: failed conversion of R5P to RU5P",1,393087
"Synthesis of PI",14,393074
"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",65,393023
"Dopamine receptors",6,393082
"Vitamin B5 (pantothenate) metabolism",35,393053
"Defective CFTR causes cystic fibrosis",67,393021
"VEGFR2 mediated vascular permeability",44,393044
"DNA Damage Bypass",57,393031
"Signaling by SCF-KIT",447,392641
"PIPs transport between late endosome and Golgi membranes",1,393087
"Activation of the TFAP2 (AP-2) family of transcription factors",12,393076
"Ub-specific processing proteases",206,392882
"DAP12 interactions",488,392600
"Regulation of ornithine decarboxylase (ODC)",52,393036
"Complement cascade",156,392932
"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus",3,393085
"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)",3,393085
"Highly sodium permeable acetylcholine nicotinic receptors",9,393079
"Reactions specific to the complex N-glycan synthesis pathway",28,393060
"Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex",15,393073
"Metabolism of nitric oxide",58,393030
"Binding and Uptake of Ligands by Scavenger Receptors",168,392920
"CREB phosphorylation through the activation of Ras",34,393054
"Release of apoptotic factors from the mitochondria",2,393086
"Sulfur amino acid metabolism",81,393007
"SHC1 events in EGFR signaling",267,392821
"MAP3K8 (TPL2)-dependent MAPK1/3 activation",18,393070
"TLR3 deficiency - HSE",2,393086
"Translesion synthesis by REV1",19,393069
"Phosphate bond hydrolysis by NUDT proteins",34,393054
"MPS IV - Morquio syndrome B",3,393085
"Fatty acyl-CoA biosynthesis",79,393009
"Defective GALNT12 causes colorectal cancer 1 (CRCS1)",19,393069
"Androgen biosynthesis",27,393061
"WNT ligand secretion is abrogated by the PORCN inhibitor LGK974",2,393086
"Assembly of Viral Components at the Budding Site",7,393081
"G alpha (z) signalling events",59,393029
"Signaling by the B Cell Receptor (BCR)",404,392684
"Establishment of Sister Chromatid Cohesion",13,393075
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions",4,393084
"HDR through Single Strand Annealing (SSA)",39,393049
"Toxicity of botulinum toxin type A (BoNT/A)",12,393076
"ABC transporters in lipid homeostasis",29,393059
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)",9,393079
"Vitamins",19,393069
"Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)",3,393085
"Abacavir metabolism",28,393060
"Ribosomal scanning and start codon recognition",64,393024
"Constitutive Signaling by AKT1 E17K in Cancer",32,393056
"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",22,393066
"Host Interactions of HIV factors",147,392941
"Gap junction trafficking",50,393038
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling",6,393082
"XAV939 inhibits tankyrase, stabilizing AXIN",3,393085
"Defective CYP4F22 causes Ichthyosis, congenital, autosomal recessive 5 (ARCI5)",4,393084
"Collagen biosynthesis and modifying enzymes",76,393012
"Telomere C-strand synthesis initiation",17,393071
"Cell-cell junction organization",67,393021
"Transcription of E2F targets under negative control by DREAM complex",19,393069
"ATF4 activates genes",25,393063
"p75NTR negatively regulates cell cycle via SC1",6,393082
"Regulation of PTEN localization",10,393078
"Toll Like Receptor 3 (TLR3) Cascade",111,392977
"Synthesis of glycosylphosphatidylinositol (GPI)",35,393053
"Cell-Cell communication",133,392955
"Diseases associated with surfactant metabolism",16,393072
"Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)",138,392950
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",65,393023
"Lysine catabolism",44,393044
"NOTCH2 Activation and Transmission of Signal to the Nucleus",22,393066
"FGFR4 mutant receptor activation",4,393084
"Transfer of LPS from LBP carrier to CD14",3,393085
"Downregulation of ERBB2:ERBB3 signaling",16,393072
"Oxygen-dependent asparagine hydroxylation of Hypoxia-inducible Factor Alpha",7,393081
"MET promotes cell motility",45,393043
"Defective CHST6 causes MCDC1",8,393080
"Cobalamin (Cbl, vitamin B12) transport and metabolism",49,393039
"Lysosphingolipid and LPA receptors",19,393069
"MET activates RAP1 and RAC1",13,393075
"Formation of apoptosome",5,393083
"Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)",2,393086
"PCP/CE pathway",99,392989
"HIV Infection",258,392830
"Mitotic Spindle Checkpoint",110,392978
"RUNX3 regulates BCL2L11 (BIM) transcription",5,393083
"Spry regulation of FGF signaling",19,393069
"Defective ALG2 causes ALG2-CDG (CDG-1i)",2,393086
"Sphingolipid de novo biosynthesis",79,393009
"Transcriptional regulation by RUNX1",214,392874
"Glyoxylate metabolism and glycine degradation",89,392999
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA",18,393070
"Separation of Sister Chromatids",195,392893
"Cytochrome c-mediated apoptotic response",7,393081
"NCAM signaling for neurite out-growth",306,392782
"M Phase",390,392698
"PI3K/AKT Signaling in Cancer",119,392969
"Metabolism of amino acids and derivatives",661,392427
"Signaling by PDGF",499,392589
"Attachment of GPI anchor to uPAR",10,393078
"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)",327,392761
"Tandem pore domain halothane-inhibited K+ channel (THIK)",2,393086
"Beta-oxidation of very long chain fatty acids",38,393050
"Chylomicron assembly",14,393074
"mRNA Splicing - Major Pathway",180,392908
"Intra-Golgi traffic",48,393040
"Mitophagy",81,393007
"DAG and IP3 signaling",45,393043
"Interleukin-19,20,22,24,26,28 and 29 signaling",286,392802
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",21,393067
"Coenzyme A biosynthesis",21,393067
"IRAK1 recruits IKK complex",16,393072
"Toxicity of tetanus toxin (TeNT)",6,393082
"Synthesis of IPs in the nucleus",18,393070
"Formation of editosomes by ADAR proteins",2,393086
"Processing of SMDT1",17,393071
"Defective SLC22A5 causes systemic primary carnitine deficiency (CDSP)",2,393086
"GDP-fucose biosynthesis",21,393067
"Peptide hormone biosynthesis",13,393075
"Defective SLC12A1 causes Bartter syndrome 1 (BS1)",3,393085
"PAOs oxidise polyamines to amines",13,393075
"Gap junction trafficking and regulation",54,393034
"Breakdown of the nuclear lamina",3,393085
"Heme biosynthesis",49,393039
"Glucagon signaling in metabolic regulation",39,393049
"Olfactory Signaling Pathway",432,392656
"Passive transport by Aquaporins",21,393067
"RAF/MAP kinase cascade",267,392821
"Formation of Incision Complex in GG-NER",47,393041
"Mucopolysaccharidoses",24,393064
"eNOS activation",35,393053
"Metabolism of non-coding RNA",59,393029
"Chromatin organization",257,392831
"Defective B3GALTL causes Peters-plus syndrome (PpS)",38,393050
"Cellular response to heat stress",101,392987
"Axonal growth stimulation",6,393082
"Synthesis of PC",55,393033
"Integrin cell surface interactions",87,393001
"Regulation of Apoptosis",54,393034
"Vpr-mediated nuclear import of PICs",42,393046
"Defective PMM2 causes PMM2-CDG (CDG-1a)",1,393087
"Glycogen storage disease type 0 (liver GYS2)",4,393084
"Regulation of gene expression in late stage (branching morphogenesis) pancreatic bud precursor cells",7,393081
"tRNA modification in the mitochondrion",26,393062
"RNA Polymerase III Chain Elongation",22,393066
"Unwinding of DNA",12,393076
"Defective ABCC6 causes pseudoxanthoma elasticum (PXE)",3,393085
"PTK6 Activates STAT3",6,393082
"PTK6 Regulates Proteins Involved in RNA Processing",7,393081
"Defective SLC6A19 causes Hartnup disorder (HND)",13,393075
"RNA Polymerase III Transcription Initiation From Type 3 Promoter",28,393060
"Autodegradation of Cdh1 by Cdh1:APC/C",63,393025
"Amino Acid conjugation",25,393063
"Vasopressin regulates renal water homeostasis via Aquaporins",50,393038
"Defective CHSY1 causes TPBS",9,393079
"mRNA Editing: C to U Conversion",10,393078
"Intestinal lipid absorption",4,393084
"Activation of NMDA receptor and postsynaptic events",50,393038
"Histamine receptors",5,393083
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",16,393072
"NOTCH1 Intracellular Domain Regulates Transcription",50,393038
"Signaling by NOTCH1",76,393012
"HDL remodeling",24,393064
"Initiation of Nuclear Envelope Reformation",16,393072
"TP53 Regulates Transcription of DNA Repair Genes",67,393021
"p75NTR regulates axonogenesis",13,393075
"Phase 0 - rapid depolarisation",47,393041
"IRS activation",7,393081
"Purine catabolism",74,393014
"Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants",38,393050
"Synthesis of PIPs in the nucleus",10,393078
"Processing of Intronless Pre-mRNAs",19,393069
"Muscarinic acetylcholine receptors",6,393082
"UCH proteinases",98,392990
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",61,393027
"Transport of nucleotide sugars",22,393066
"Melanin biosynthesis",28,393060
"APC/C:Cdc20 mediated degradation of Securin",67,393021
"Defective GALE can cause Epimerase-deficiency galactosemia (EDG)",1,393087
"PKA activation",22,393066
"Asparagine N-linked glycosylation",420,392668
"T41 mutants of beta-catenin aren't phosphorylated",16,393072
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",111,392977
"Metabolism of serotonin",13,393075
"Signaling by WNT in cancer",37,393051
"RUNX1 regulates transcription of genes involved in differentiation of myeloid cells",7,393081
"Glycogen storage disease type 0 (muscle GYS1)",4,393084
"Defective CYP7B1 causes Spastic paraplegia 5A, autosomal recessive (SPG5A) and Congenital bile acid synthesis defect 3 (CBAS3)",4,393084
"Regulation of pyruvate dehydrogenase (PDH) complex",26,393062
"SUMO E3 ligases SUMOylate target proteins",116,392972
"Phase 3 - rapid repolarisation",9,393079
"Defective UGT1A1 causes hyperbilirubinemia",3,393085
"Apoptotic execution  phase",55,393033
"Interleukin-1 family signaling",99,392989
"Transport of connexins along the secretory pathway",3,393085
"VxPx cargo-targeting to cilium",25,393063
"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",18,393070
"Peptide hormone metabolism",124,392964
"NGF processing",5,393083
"Diseases of carbohydrate metabolism",56,393032
"Signaling by Interleukins",731,392357
"SUMOylation of DNA replication proteins",48,393040
"Defective MUT causes methylmalonic aciduria mut type",4,393084
"BBSome-mediated cargo-targeting to cilium",24,393064
"Formation of ATP by chemiosmotic coupling",23,393065
"Defective CYP21A2 causes Adrenal hyperplasia 3 (AH3)",4,393084
"Defective ABCG8 causes gallbladder disease 4 and sitosterolemia",4,393084
"Eukaryotic Translation Termination",104,392984
"Hydrolysis of LPE",9,393079
"Meiosis",94,392994
"RAB geranylgeranylation",68,393020
"L1CAM interactions",129,392959
"PI-3K cascade:FGFR2",31,393057
"SMAD2/3 MH2 Domain Mutants in Cancer",9,393079
"GRB7 events in ERBB2 signaling",6,393082
"GABA synthesis",7,393081
"Amine-derived hormones",56,393032
"Defective SLC12A3 causes Gitelman syndrome (GS)",2,393086
"Defective ABCC2 causes Dubin-Johnson syndrome",4,393084
"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)",4,393084
"Influenza Life Cycle",187,392901
"Disinhibition of SNARE formation",10,393078
"Signal regulatory protein family interactions",18,393070
"Defective Mismatch Repair Associated With MSH2",3,393085
"mTOR signalling",49,393039
"Dectin-2 family",65,393023
"Axon guidance",674,392414
"Extracellular matrix organization",330,392758
"Defective CP causes aceruloplasminemia (ACERULOP)",3,393085
"Competing endogenous RNAs (ceRNAs) regulate PTEN translation",8,393080
"TNF signaling",50,393038
"Vitamin B1 (thiamin) metabolism",14,393074
"P2Y receptors",18,393070
"Hedgehog 'on' state",87,393001
"Regulation of signaling by NODAL",12,393076
"Defective ABCB6 causes isolated colobomatous microphthalmia 7 (MCOPCB7)",3,393085
"Adaptive Immune System",1147,391941
"PDE3B signalling",8,393080
"Signaling by RAS mutants",57,393031
"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",38,393050
"Gamma-carboxylation of protein precursors",15,393073
"Gluconeogenesis1",86,393002
"Conjugation of benzoate with glycine",14,393074
"Metabolic disorders of biological oxidation enzymes",53,393035
"Neurotransmitter release cycle",99,392989
"Phospholipase C-mediated cascade: FGFR1",22,393066
"IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation",16,393072
"ISG15 antiviral mechanism",83,393005
"Cellular response to hypoxia",80,393008
"Regulation of TP53 Degradation",41,393047
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane",25,393063
"MET interacts with TNS proteins",5,393083
"L13a-mediated translational silencing of Ceruloplasmin expression",113,392975
