"","inPathway","outPathway"
"Variant SLC6A14 may confer susceptibility towards obesity",3,90491
"TP53 Regulates Transcription of DNA Repair Genes",67,90427
"Regulation of signaling by NODAL",12,90482
"Toxicity of botulinum toxin type C (BoNT/C)",7,90487
"Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3",47,90447
"Crosslinking of collagen fibrils",24,90470
"Defective MGAT2 causes MGAT2-CDG (CDG-2a)",2,90492
"CHL1 interactions",10,90484
"Disassembly of the destruction complex and recruitment of AXIN to the membrane",33,90461
"phosphorylation site mutants of CTNNB1 are not targeted to the proteasome by the destruction complex",16,90478
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",14,90480
"Interleukin-19,20,22,24,26,28 and 29 signaling",286,90208
"Regulation of PAK-2p34 activity by PS-GAP/RHG10",2,90492
"Glycogen storage disease type 0 (muscle GYS1)",4,90490
"Defective Mismatch Repair Associated With MSH3",2,90492
"Defective HK1 causes hexokinase deficiency (HK deficiency)",2,90492
"ER to Golgi Anterograde Transport",163,90331
"Homology Directed Repair",130,90364
"mRNA decay by 5' to 3' exoribonuclease",22,90472
"Role of phospholipids in phagocytosis",129,90365
"eNOS activation and regulation",58,90436
"SUMOylation",125,90369
"The proton buffering model",11,90483
"Hemostasis",798,89696
"O-linked glycosylation",133,90361
"Diseases of glycosylation",136,90358
"Cargo concentration in the ER",37,90457
"Terminal pathway of complement",8,90486
"TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling",19,90475
"p75NTR negatively regulates cell cycle via SC1",6,90488
"GPCR ligand binding",590,89904
"RUNX1 regulates transcription of genes involved in WNT signaling",7,90487
"Deadenylation of mRNA",29,90465
"Mitotic Telophase/Cytokinesis",14,90480
"Protein folding",105,90389
"TCR signaling",136,90358
"Downstream signaling of activated FGFR4",35,90459
"2-LTR circle formation",13,90481
"Dual Incision in GG-NER",41,90453
"Phospholipase C-mediated cascade: FGFR1",22,90472
"WNT ligand biogenesis and trafficking",28,90466
"Defective SLCO1B3 causes hyperbilirubinemia, Rotor type (HBLRR)",3,90491
"Chromatin organization",257,90237
"RA biosynthesis pathway",39,90455
"Pyruvate metabolism",119,90375
"PLC-gamma1 signalling",47,90447
"Pentose phosphate pathway (hexose monophosphate shunt)",46,90448
"ABC-family proteins mediated transport",125,90369
"MPS IIID - Sanfilippo syndrome D",2,90492
"Signaling by Hippo",22,90472
"Basigin interactions",26,90468
"Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)",2,90492
"Defective POMT2 causes MDDGA2, MDDGB2 and MDDGC2",2,90492
"Budding and maturation of HIV virion",36,90458
"ARL13B-mediated ciliary trafficking of INPP5E",3,90491
"Activation, translocation and oligomerization of BAX",2,90492
"Assembly of the ORC complex at the origin of replication",6,90488
"Gamma-carboxylation, transport, and amino-terminal cleavage of proteins",16,90478
"Defective SLC39A4 causes acrodermatitis enteropathica, zinc-deficiency type (AEZ)",1,90493
"Unwinding of DNA",12,90482
"Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)",2,90492
"RNA Polymerase III Abortive And Retractive Initiation",46,90448
"Activation of Ca-permeable Kainate Receptor",13,90481
"Defective SLC6A5 causes hyperekplexia 3 (HKPX3)",3,90491
"Reproduction",31,90463
"Insulin effects increased synthesis of Xylulose-5-Phosphate",10,90484
"FGFR1c ligand binding and activation",15,90479
"Signaling by EGFR in Cancer",38,90456
"Signaling by Activin",15,90479
"Defective SLC12A6 causes agenesis of the corpus callosum, with peripheral neuropathy (ACCPN)",2,90492
"Essential pentosuria",3,90491
"Plasma lipoprotein assembly, remodeling, and clearance",93,90401
"Deactivation of the beta-catenin transactivating complex",44,90450
"NGF signalling via TRKA from the plasma membrane",506,89988
"Signaling by FGFR2 amplification mutants",8,90486
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",48,90446
"Response to metal ions",19,90475
"PIPs transport between early and late endosome membranes",1,90493
"S Phase",156,90338
"PDE3B signalling",8,90486
"N-Glycan antennae elongation",19,90475
"RNA Polymerase II HIV Promoter Escape",51,90443
"FGFR1b ligand binding and activation",9,90485
"Regulated Necrosis",28,90466
"Signaling by GPCR",1507,88987
"Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)",2,90492
"Carboxyterminal post-translational modifications of tubulin",51,90443
"Separation of Sister Chromatids",195,90299
"RMTs methylate histone arginines",53,90441
"Cholesterol biosynthesis via lathosterol",14,90480
"Activation of E2F1 target genes at G1/S",27,90467
"Defects in cobalamin (B12) metabolism",28,90466
"Recruitment of NuMA to mitotic centrosomes",95,90399
"Plasma lipoprotein remodeling",49,90445
"Elevation of cytosolic Ca2+ levels",22,90472
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",42,90452
"Activation of NF-kappaB in B cells",72,90422
"Transport of bile salts and organic acids, metal ions and amine compounds",165,90329
"Axonal growth stimulation",6,90488
"Cholesterol biosynthesis via desmosterol",14,90480
"Glycoprotein hormones",10,90484
"Base Excision Repair",61,90433
"Activation of NIMA Kinases NEK9, NEK6, NEK7",9,90485
"Mitochondrial translation termination",114,90380
"Cholesterol biosynthesis",84,90410
"Trafficking of AMPA receptors",37,90457
"DNA Replication Pre-Initiation",88,90406
"Activation of BAD and translocation to mitochondria ",19,90475
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",5,90489
"Enzymatic degradation of dopamine by COMT",14,90480
"TALDO1 deficiency: failed conversion of SH7P, GA3P to Fru(6)P, E4P",2,90492
"Transcription-Coupled Nucleotide Excision Repair (TC-NER)",85,90409
"Nuclear Events (kinase and transcription factor activation)",29,90465
"Cap-dependent Translation Initiation",126,90368
"Innate Immune System",1605,88889
"Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon",22,90472
"Non-integrin membrane-ECM interactions",61,90433
"HIV elongation arrest and recovery",40,90454
"Translesion synthesis by POLI",20,90474
"Regulation of TP53 Activity through Acetylation",39,90455
"Mitochondrial protein import",67,90427
"Intestinal absorption",12,90482
"Diseases of metabolism",156,90338
"Cytokine Signaling in Immune system",1022,89472
"Nicotinate metabolism",86,90408
"Interferon gamma signaling",155,90339
"Metabolism of Angiotensinogen to Angiotensins",26,90468
"SIRT1 negatively regulates rRNA Expression",43,90451
"MPS IV - Morquio syndrome B",3,90491
"Pre-NOTCH Processing in Golgi",23,90471
"Signaling by MET",87,90407
"Plasmalogen biosynthesis",14,90480
"Postsynaptic nicotinic acetylcholine receptors",17,90477
"Platelet homeostasis",117,90377
"Metabolism of nucleotides",256,90238
"Bile acid and bile salt metabolism",119,90375
"CDC6 association with the ORC:origin complex",11,90483
"Defective SLC1A3 causes episodic ataxia 6 (EA6)",6,90488
"Defective ALG9 causes ALG9-CDG (CDG-1l)",3,90491
"Oxidative Stress Induced Senescence",101,90393
"COPI-dependent Golgi-to-ER retrograde traffic",106,90388
"TFAP2 (AP-2) family regulates transcription of cell cycle factors",5,90489
"Mitochondrial transcription termination",1,90493
"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",94,90400
"Intestinal lipid absorption",4,90490
"Peptide ligand-binding receptors",194,90300
"Neurotoxicity of clostridium toxins",28,90466
"Defects in biotin (Btn) metabolism",10,90484
"Cell surface interactions at the vascular wall",256,90238
"FGFR1c and Klotho ligand binding and activation",7,90487
"Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha",70,90424
"Meiotic synapsis",63,90431
"HDR through Homologous Recombination (HRR)",72,90422
"Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1",16,90478
"NoRC negatively regulates rRNA expression",85,90409
"Defective MPI causes MPI-CDG (CDG-1b)",1,90493
"Intracellular oxygen transport",5,90489
"Cysteine formation from homocysteine",11,90483
"Prolonged ERK activation events",276,90218
"S33 mutants of beta-catenin aren't phosphorylated",16,90478
"Removal of aminoterminal propeptides from gamma-carboxylated proteins",10,90484
"Association of licensing factors with the pre-replicative complex",15,90479
"Nucleobase catabolism",139,90355
"RSK activation",8,90486
"Na+/Cl- dependent neurotransmitter transporters",50,90444
"Nonhomologous End-Joining (NHEJ)",57,90437
"DAP12 signaling",471,90023
"Vitamin D (calciferol) metabolism",17,90477
"Thromboxane signalling through TP receptor",26,90468
"Gap-filling DNA repair synthesis and ligation in TC-NER",66,90428
"Defective BTD causes biotidinase deficiency",1,90493
"Signaling by FGFR2",85,90409
"SHC-mediated cascade:FGFR4",26,90468
"NADE modulates death signalling",6,90488
"Defective SLC6A19 causes Hartnup disorder (HND)",13,90481
"Sodium/Proton exchangers",11,90483
"Cohesin Loading onto Chromatin",10,90484
"Nucleobase biosynthesis",62,90432
"mTOR signalling",49,90445
"RNA Polymerase I Transcription Initiation",49,90445
"VEGFA-VEGFR2 Pathway",372,90122
"Myoclonic epilepsy of Lafora",12,90482
"EPHA-mediated growth cone collapse",39,90455
"Activation of NOXA and translocation to mitochondria",5,90489
"Erythrocytes take up carbon dioxide and release oxygen",26,90468
"RUNX3 regulates RUNX1-mediated transcription",2,90492
"Lysosomal oligosaccharide catabolism",12,90482
"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling",112,90382
"RAF/MAP kinase cascade",267,90227
"Intrinsic Pathway of Fibrin Clot Formation",25,90469
"Free fatty acids regulate insulin secretion",19,90475
"Synthesis of GDP-mannose",11,90483
"Transport of nucleotide sugars",22,90472
"Sperm:Oocyte Membrane Binding",5,90489
"Metabolism of folate and pterines",44,90450
"TRAF3 deficiency - HSE",4,90490
"Transcriptional regulation by RUNX1",214,90280
"TALDO1 deficiency: failed conversion of  Fru(6)P, E4P to SH7P, GA3P",2,90492
"SUMO is transferred from E1 to E2 (UBE2I, UBC9)",7,90487
"CYP2E1 reactions",30,90464
"Mitotic G1-G1/S phases",150,90344
"Signaling by NOTCH1 HD Domain Mutants in Cancer",16,90478
"Reactions specific to the hybrid N-glycan synthesis pathway",3,90491
"Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3)",4,90490
"Interaction With The Zona Pellucida",10,90484
"Uncoating of the HIV Virion",8,90486
"Transport of gamma-carboxylated protein precursors from the endoplasmic reticulum to the Golgi apparatus",9,90485
"Eukaryotic Translation Initiation",126,90368
"Abortive elongation of HIV-1 transcript in the absence of Tat",27,90467
"Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)",3,90491
"MPS IIIA - Sanfilippo syndrome A",3,90491
"Assembly of collagen fibrils and other multimeric structures",67,90427
"Gap junction degradation",12,90482
"Chromosome Maintenance",105,90389
"PKMTs methylate histone lysines",49,90445
"Cell-cell junction organization",67,90427
"Eukaryotic Translation Termination",104,90390
"Hedgehog 'on' state",87,90407
"mRNA Editing: C to U Conversion",10,90484
"Formation of the ternary complex, and subsequently, the 43S complex",53,90441
"Pre-NOTCH Transcription and Translation",29,90465
"Defective LFNG causes SCDO3",5,90489
"Signaling by FGFR3",52,90442
"TET1,2,3 and TDG demethylate DNA",16,90478
"Butyrate Response Factor 1 (BRF1) binds and destabilizes mRNA",19,90475
"Interleukin-10 signaling",49,90445
"Defective SLC26A4 causes Pendred syndrome (PDS)",1,90493
"Synthesis of PIPs at the early endosome membrane",31,90463
"Programmed Cell Death",186,90308
"Assembly of Viral Components at the Budding Site",7,90487
"Apoptotic cleavage of cellular proteins",38,90456
"Fatty acyl-CoA biosynthesis",79,90415
"Major pathway of rRNA processing in the nucleolus and cytosol",183,90311
"MPS VII - Sly syndrome",3,90491
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)1",5,90489
"Regulation of RAS by GAPs",70,90424
"Synthesis of PIPs in the nucleus",10,90484
"Defective ST3GAL3 causes MCT12 and EIEE15",8,90486
"Defective ALG12 causes ALG12-CDG (CDG-1g)",2,90492
"Dopamine receptors",6,90488
"Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer",61,90433
"Pyrimidine salvage",34,90460
"Polymerase switching on the C-strand of the telomere",17,90477
"Defective MPDU1 causes MPDU1-CDG (CDG-1f)",5,90489
"Metabolism",3395,87099
"Prostacyclin signalling through prostacyclin receptor",22,90472
"Erythrocytes take up oxygen and release carbon dioxide",16,90478
"Signaling by PDGF",499,89995
"mRNA Capping",36,90458
"Influenza Life Cycle",187,90307
"Gene Silencing by RNA",115,90379
"tRNA Aminoacylation",108,90386
"Negative regulators of DDX58/IFIH1 signaling",37,90457
"Coenzyme A biosynthesis",21,90473
"IKBKG deficiency causes anhidrotic ectodermal dysplasia with immunodeficiency (EDA-ID) (via TLR)",9,90485
"Chemokine receptors bind chemokines",48,90446
"Signaling by MST1",8,90486
"Keratan sulfate degradation",22,90472
"Prostanoid ligand receptors",14,90480
"PTK6 Activates STAT3",6,90488
"SHC1 events in ERBB2 signaling",35,90459
"Formation of HIV elongation complex in the absence of HIV Tat",48,90446
"Costimulation by the CD28 family",88,90406
"Inflammasomes",29,90465
"Toll Like Receptor 7/8 (TLR7/8) Cascade",107,90387
"Reduction of cytosolic Ca++ levels",15,90479
"Essential fructosuria",2,90492
"Glycogen storage diseases",16,90478
"Acyl chain remodelling of PE",42,90452
"Depolymerisation of the Nuclear Lamina",23,90471
"Signal amplification",37,90457
"IGF1R signaling cascade",326,90168
"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)",2,90492
"Binding of TCF/LEF:CTNNB1 to target gene promoters",8,90486
"TCF7L2 mutants don't bind CTBP",3,90491
"Minus-strand DNA synthesis",9,90485
"RHO GTPases activate IQGAPs",35,90459
"Diseases associated with glycosylation precursor biosynthesis",24,90470
"CREB phosphorylation",9,90485
"Agmatine biosynthesis",8,90486
"Vpr-mediated nuclear import of PICs",42,90452
"DNA strand elongation",38,90456
"Defective SFTPA2 causes idiopathic pulmonary fibrosis (IPF)",2,90492
"Sodium/Calcium exchangers",15,90479
"Interleukin-17 signaling",332,90162
"Glycosaminoglycan metabolism",183,90311
"DNA Double-Strand Break Repair",167,90327
"G protein gated Potassium channels",27,90467
"Acyl chain remodelling of PG",26,90468
"PTEN Loss of Function in Cancer",2,90492
"Conjugation of carboxylic acids",24,90470
"NEP/NS2 Interacts with the Cellular Export Machinery",43,90451
"The fatty acid cycling model",8,90486
"Beta-oxidation of pristanoyl-CoA",31,90463
"Inhibition of Signaling by Overexpressed EGFR",6,90488
"Activation of Rac",17,90477
"Keratan sulfate/keratin metabolism",52,90442
"Regulation of thyroid hormone activity",9,90485
"Hedgehog ligand biogenesis",72,90422
"TP53 Regulates Metabolic Genes",113,90381
"Downregulation of ERBB2:ERBB3 signaling",16,90478
"Translesion synthesis by POLK",21,90473
"Attachment of GPI anchor to uPAR",10,90484
"Defective ABCA3 causes pulmonary surfactant metabolism dysfunction type 3 (SMDP3)",8,90486
"RNA Polymerase II Promoter Escape",51,90443
"Metal ion SLC transporters",34,90460
"Nef Mediated CD4 Down-regulation",10,90484
"Peptide chain elongation",114,90380
"Signaling by FGFR1 amplification mutants",13,90481
"Diseases of carbohydrate metabolism",56,90438
"RUNX1 regulates transcription of genes involved in differentiation of myeloid cells",7,90487
"Ceramide signalling",8,90486
"Intra-Golgi and retrograde Golgi-to-ER traffic",217,90277
"Diseases of Immune System",34,90460
"p53-Dependent G1 DNA Damage Response",68,90426
"Post-translational modification: synthesis of GPI-anchored proteins",114,90380
"Synthesis, secretion, and deacylation of Ghrelin",25,90469
"Autointegration results in viral DNA circles",9,90485
"Truncations of AMER1 destabilize the destruction complex",14,90480
"CD22 mediated BCR regulation",72,90422
"Defective HLCS causes multiple carboxylase deficiency",9,90485
"Defective SLC35D1 causes Schneckenbecken dysplasia (SCHBCKD)",2,90492
"Citric acid cycle (TCA cycle)",45,90449
"Synthesis of glycosylphosphatidylinositol (GPI)",35,90459
"RHO GTPases Activate Rhotekin and Rhophilins",10,90484
"Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)1",2,90492
"SUMOylation of DNA replication proteins",48,90446
"TNFR1-induced proapoptotic signaling",14,90480
"Signaling by Retinoic Acid",71,90423
"Formation of the Early Elongation Complex",37,90457
"Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization",4,90490
"Sensing of DNA Double Strand Breaks",15,90479
"Cam-PDE 1 activation",8,90486
"O2/CO2 exchange in erythrocytes",26,90468
"Membrane binding and targetting of GAG proteins",17,90477
"TNFs bind their physiological receptors",30,90464
"Ras activation uopn Ca2+ infux through NMDA receptor",22,90472
"Synthesis of bile acids and bile salts",109,90385
"Association of TriC/CCT with target proteins during biosynthesis",40,90454
"Defective GGT1 causes Glutathionuria (GLUTH)",4,90490
"Leading Strand Synthesis",16,90478
"Collagen formation",104,90390
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate",6,90488
"Condensation of Prophase Chromosomes",55,90439
"Vitamin B5 (pantothenate) metabolism",35,90459
"MAP2K and MAPK activation",47,90447
"Sema4D mediated inhibition of cell attachment and migration",14,90480
"Cytochrome P450 - arranged by substrate type",186,90308
"G alpha (i) signalling events",328,90166
"Telomere Extension By Telomerase",11,90483
"Amino acid transport across the plasma membrane",68,90426
"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)",20,90474
"Regulation of PTEN mRNA translation",9,90485
"tRNA modification in the nucleus and cytosol",122,90372
"Incretin synthesis, secretion, and inactivation",45,90449
"Toxicity of botulinum toxin type F (BoNT/F)",9,90485
"HIV Transcription Elongation",52,90442
"ERKs are inactivated",15,90479
"Defective GALT can cause Galactosemia",2,90492
"Regulation of ornithine decarboxylase (ODC)",52,90442
"Scavenging of heme from plasma",105,90389
"Synthesis of IP3 and IP4 in the cytosol",39,90455
"Regulation of TP53 Activity through Methylation",23,90471
"Activation of the TFAP2 (AP-2) family of transcription factors",12,90482
"TRAF6 mediated IRF7 activation",35,90459
"Beta oxidation of hexanoyl-CoA to butanoyl-CoA",18,90476
"G alpha (12/13) signalling events",92,90402
"Viral RNP Complexes in the Host Cell Nucleus",7,90487
"MAP kinase activation in TLR cascade",69,90425
"S45 mutants of beta-catenin aren't phosphorylated",16,90478
"TAK1 activates NFkB by phosphorylation and activation of IKKs complex",41,90453
"Hydrolysis of LPC",18,90476
"Entry of Influenza Virion into Host Cell via Endocytosis",12,90482
"ER Quality Control Compartment (ERQC)",33,90461
"Reactions specific to the complex N-glycan synthesis pathway",28,90466
"IRS-related events triggered by IGF1R",325,90169
"Acyl chain remodelling of PI",25,90469
"Presynaptic phase of homologous DNA pairing and strand exchange",41,90453
"Activation of Nicotinic Acetylcholine Receptors",17,90477
"Signaling by FGFR4",50,90444
"Inhibition of TSC complex formation by PKB",6,90488
"Creatine metabolism",25,90469
"RHO GTPases activate PAKs",27,90467
"Digestion of dietary carbohydrate",29,90465
"Inhibition of Interferon Synthesis",1,90493
"Signal regulatory protein family interactions",18,90476
"Cellular hexose transport",27,90467
"CDK-mediated phosphorylation and removal of Cdc6",53,90441
"PLCG1 events in ERBB2 signaling",6,90488
"Activated NOTCH1 Transmits Signal to the Nucleus",31,90463
"Defective GFPT1 causes CMSTA1",2,90492
"PI5P Regulates TP53 Acetylation",17,90477
"Activated TLR4 signalling",132,90362
"Synthesis of dolichyl-phosphate mannose",7,90487
"Synthesis of PIPs at the Golgi membrane",32,90462
"RNA Polymerase III Transcription Initiation",36,90458
"RNA Polymerase I Promoter Escape",30,90464
"PTK6 Regulates Proteins Involved in RNA Processing",7,90487
"Pyrophosphate hydrolysis",6,90488
"Neddylation",240,90254
"snRNP Assembly",59,90435
"Metabolism of carbohydrates",414,90080
"AKT phosphorylates targets in the nucleus",12,90482
"MGMT-mediated DNA damage reversal",2,90492
"Amine Oxidase reactions",22,90472
"Choline catabolism",21,90473
"FGFR2b ligand binding and activation",14,90480
"Base-Excision Repair, AP Site Formation",24,90470
"Selenocysteine synthesis",114,90380
"Localization of the PINCH-ILK-PARVIN complex to focal adhesions",4,90490
"Defective Mismatch Repair Associated With MSH2",3,90491
"Butyrophilin (BTN) family interactions",12,90482
"HATs acetylate histones",110,90384
"PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1",11,90483
"Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol",75,90419
"RNA Polymerase III Transcription Termination",23,90471
"Miscellaneous transport and binding events",36,90458
"POLB-Dependent Long Patch Base Excision Repair",15,90479
"Glycogen synthesis",26,90468
"Fatty acid metabolism",497,89997
"Depurination",8,90486
"PCP/CE pathway",99,90395
"GRB7 events in ERBB2 signaling",6,90488
"Formation of ATP by chemiosmotic coupling",23,90471
"Downstream signaling events of B Cell Receptor (BCR)",307,90187
"RNA Polymerase II Transcription Initiation",51,90443
"Melanin biosynthesis",28,90466
"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known",39,90455
"Recycling of eIF2:GDP",10,90484
"Opsins",9,90485
"IPs transport between nucleus and cytosol",5,90489
"RAF activation",30,90464
"Regulation of APC/C activators between G1/S and early anaphase",82,90412
"Activation of the phototransduction cascade",19,90475
"Defective GSS causes Glutathione synthetase deficiency (GSS deficiency)",3,90491
"Signaling by Robo receptor",39,90455
"Response of Mtb to phagocytosis",72,90422
"Neurofascin interactions",9,90485
"Infectious disease",536,89958
"Signaling by the B Cell Receptor (BCR)",404,90090
"GAB1 signalosome",285,90209
"G alpha (z) signalling events",59,90435
"RNA Polymerase III Transcription Initiation From Type 1 Promoter",28,90466
"PTK6 Expression",6,90488
"GPVI-mediated activation cascade",64,90430
"Carnitine synthesis",29,90465
"Signaling by FGFR",104,90390
"Scavenging by Class H Receptors",15,90479
"Lysosome Vesicle Biogenesis",43,90451
"ATF4 activates genes",25,90469
"Interaction between PHLDA1 and AURKA",4,90490
"Cellular response to hypoxia",80,90414
"Catabolism of glucuronate to xylulose-5-phosphate",21,90473
"Chylomicron remodeling",17,90477
"Transport of small molecules",976,89518
"GLI proteins bind promoters of Hh responsive genes to promote transcription",3,90491
"Interleukin-2 family signaling",288,90206
"Antagonism of Activin by Follistatin",4,90490
"PTEN Regulation",150,90344
"Transport of connexins along the secretory pathway",3,90491
"Classical antibody-mediated complement activation",97,90397
"MyD88:Mal cascade initiated on plasma membrane",111,90383
"Defective GALNT12 causes colorectal cancer 1 (CRCS1)",19,90475
"Nuclear Pore Complex (NPC) Disassembly",40,90454
"Mitochondrial translation",142,90352
"Mitochondrial iron-sulfur cluster biogenesis",26,90468
"Metabolism of proteins",2287,88207
"ATF6 (ATF6-alpha) activates chaperones",12,90482
"Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template",48,90446
"SMAC-mediated dissociation of IAP:caspase complexes ",5,90489
"Packaging Of Telomere Ends",34,90460
"Folding of actin by CCT/TriC",13,90481
"PCNA-Dependent Long Patch Base Excision Repair",23,90471
"Stimuli-sensing channels",120,90374
"RHO GTPases Activate WASPs and WAVEs",41,90453
"Activation of NMDA receptor and postsynaptic events",50,90444
"RHO GTPases regulate CFTR trafficking",4,90490
"Diseases of Mismatch Repair (MMR)",5,90489
"CDO in myogenesis",32,90462
"Defensins",50,90444
"NOSIP mediated eNOS trafficking",7,90487
"Activated point mutants of FGFR2",28,90466
"Phospholipase C-mediated cascade; FGFR2",25,90469
"Macroautophagy",79,90415
"Mitochondrial translation elongation",114,90380
"Defective MUT causes methylmalonic aciduria mut type",4,90490
"Platelet sensitization by LDL",23,90471
"NOTCH1 Intracellular Domain Regulates Transcription",50,90444
"Axon guidance",610,89884
"Signaling by Leptin",275,90219
"Defective PGM1 causes PGM1-CDG (CDG1t)",1,90493
"Resolution of AP sites via the single-nucleotide replacement pathway",7,90487
"Metabolism of ingested H2SeO4 and H2SeO3 into H2Se",22,90472
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",27,90467
"Defective LMBRD1 causes methylmalonic aciduria and homocystinuria type cblF",1,90493
"Cell redox homeostasis",19,90475
"Downstream signaling of activated FGFR2",41,90453
"DARPP-32 events",35,90459
"Chylomicron clearance",9,90485
"UNC93B1 deficiency - HSE",1,90493
"Metabolic disorders of biological oxidation enzymes",53,90441
"Gamma carboxylation, hypusine formation and arylsulfatase activation",69,90425
"Glycogen storage disease type 0 (liver GYS2)",4,90490
"Fructose biosynthesis",11,90483
"Defective OPLAH causes 5-oxoprolinase deficiency (OPLAHD)",3,90491
"Presynaptic nicotinic acetylcholine receptors",15,90479
"PPARA activates gene expression",135,90359
"Generation of second messenger molecules",48,90446
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",91,90403
"Spry regulation of FGF signaling",19,90475
"TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation",6,90488
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",111,90383
"Activation of TRKA receptors",10,90484
"Degradation of cysteine and homocysteine",41,90453
"Diseases associated with visual transduction",24,90470
"Neurotransmitter uptake and metabolism In glial cells",10,90484
"Degradation of GABA",11,90483
"Defective SLC17A5 causes Salla disease (SD) and ISSD",2,90492
"Assembly of the pre-replicative complex",68,90426
"Defective GALNT3 causes familial hyperphosphatemic tumoral calcinosis (HFTC)",19,90475
"Defective ABCG8 causes gallbladder disease 4 and sitosterolemia",4,90490
"Class I MHC mediated antigen processing & presentation",453,90041
"Downstream signaling of activated FGFR3",34,90460
"MET promotes cell motility",45,90449
"Defective SLC22A18 causes lung cancer (LNCR) and embryonal rhabdomyosarcoma 1 (RMSE1)",3,90491
"Purine salvage",44,90450
"LDL remodeling",8,90486
"Diseases associated with O-glycosylation of proteins",67,90427
"Viral Messenger RNA Synthesis",55,90439
"CD28 co-stimulation",41,90453
"NOD1/2 Signaling Pathway",39,90455
"Interaction With Cumulus Cells",2,90492
"ATP sensitive Potassium channels",6,90488
"Fcgamma receptor (FCGR) dependent phagocytosis",193,90301
"Regulation of Complement cascade",138,90356
"Glycosphingolipid metabolism",85,90409
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)1",9,90485
"Cytochrome c-mediated apoptotic response",7,90487
"Adrenoceptors",11,90483
"RNA Polymerase III Transcription Initiation From Type 3 Promoter",28,90466
"alpha-linolenic acid (ALA) metabolism",45,90449
"Regulation of KIT signaling",18,90476
"Interleukin-12 family signaling",59,90435
"NRAGE signals death through JNK",63,90431
"Toll Like Receptor 5 (TLR5) Cascade",95,90399
"Dimerization of procaspase-8",11,90483
"Loss of Function of SMAD2/3 in Cancer",9,90485
"Defective CYP1B1 causes Glaucoma",4,90490
"Transport of organic anions",27,90467
"Metallothioneins bind metals",16,90478
"Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation",38,90456
"Signaling by FGFR1",61,90433
"Defective ABCC2 causes Dubin-Johnson syndrome",4,90490
"Resolution of D-loop Structures through Holliday Junction Intermediates",36,90458
"FGFR3b ligand binding and activation",10,90484
"Signaling by Hedgehog",160,90334
"Rev-mediated nuclear export of HIV RNA",41,90453
"Defective CHST14 causes EDS, musculocontractural type",8,90486
"SUMOylation of DNA damage response and repair proteins",79,90415
"Ca-dependent events",40,90454
"Synaptic adhesion-like molecules",23,90471
"WNT mediated activation of DVL",12,90482
"Translocation of GLUT4 to the plasma membrane",87,90407
"Sphingolipid metabolism",189,90305
"Interactions of Vpr with host cellular proteins",45,90449
"Lagging Strand Synthesis",26,90468
"The role of Nef in HIV-1 replication and disease pathogenesis",29,90465
"Signalling by NGF",594,89900
"Signaling by TGF-beta Receptor Complex",79,90415
"Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)",2,90492
"IRAK2 mediated activation of TAK1 complex",12,90482
"M Phase",390,90104
"Degradation of GLI2 by the proteasome",62,90432
"Notch-HLH transcription pathway",13,90481
"Signaling by Rho GTPases",442,90052
"SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs",11,90483
"Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)",19,90475
"Diseases associated with the TLR signaling cascade",34,90460
"Relaxin receptors",8,90486
